time,I
235.209650,0.00
235.414168,0.00
235.621391,0.00
235.826117,0.00
236.029286,0.00
236.232668,0.00
236.436625,0.00
236.641447,0.00
236.845221,0.00
237.051570,0.00
237.254589,0.00
237.472759,0.00
237.672315,0.00
237.879838,0.00
238.082251,0.00
238.278967,0.00
238.495705,0.00
238.693184,0.00
238.901525,0.00
239.102717,0.00
239.299544,0.00
239.512414,0.00
239.709788,0.00
239.925888,0.00
240.120473,0.00
240.323436,0.00
240.530656,0.00
240.733139,0.00
240.935887,0.00
241.141504,0.00
241.344025,0.00
241.549196,0.00
241.753477,0.00
241.958412,0.00
242.163743,0.00
242.366540,0.00
242.573265,0.00
242.776837,0.00
242.979267,0.00
243.185221,0.00
243.390080,0.00
243.594286,0.00
243.798401,0.00
244.005231,0.00
244.416377,0.00
244.617345,0.00
244.821247,0.00
245.236823,22.12
245.642088,63.65
246.050436,71.39
246.461266,104.71
246.663919,104.71
246.866025,104.71
247.071908,104.71
247.274778,104.71
247.481393,104.71
247.685911,104.71
248.099894,170.40
248.297930,170.40
248.503413,170.40
248.706875,170.40
248.912910,170.40
249.115368,170.40
